"OrderID";"CustomerID";"SalespersonPersonID";"OrderDate";"InvoiceID";"InvoiceDate";"TotalDryItems";"TotalChillerItems";"TransactionDate";"AmountExcludingTax";"OutstandingBalance";"TransactionAmount";"CustomerName";"PhoneNumber"
"63968";"1045";"3";"01/01/2016 00:00:00";"61328";"01/01/2016 00:00:00";"4";"0";"01/01/2016 00:00:00";"2,553.60";"0.00";"2,936.64";"Matteo Cattaneo";"(229) 555-0100"
"63969";"92";"13";"01/01/2016 00:00:00";"61329";"01/01/2016 00:00:00";"3";"0";"01/01/2016 00:00:00";"1,301.00";"0.00";"1,496.15";"Tailspin Toys (Sans Souci, SC)";"(803) 555-0100"
"63970";"492";"6";"01/01/2016 00:00:00";"61330";"01/01/2016 00:00:00";"4";"0";"01/01/2016 00:00:00";"3,041.00";"0.00";"3,497.15";"Wingtip Toys (Birds, IL)";"(217) 555-0100"
"63971";"443";"13";"01/01/2016 00:00:00";"61331";"01/01/2016 00:00:00";"4";"0";"01/01/2016 00:00:00";"1,247.25";"0.00";"1,434.34";"Wingtip Toys (Berville, MI)";"(231) 555-0100"
"63972";"846";"8";"01/01/2016 00:00:00";"61332";"01/01/2016 00:00:00";"5";"0";"01/01/2016 00:00:00";"5,035.00";"0.00";"5,790.25";"Malorie Bousquet";"(209) 555-0100"
"63973";"75";"14";"01/01/2016 00:00:00";"61333";"01/01/2016 00:00:00";"5";"0";"01/01/2016 00:00:00";"3,851.60";"0.00";"4,429.34";"Tailspin Toys (Windsor Locks, CT)";"(203) 555-0100"
"63974";"893";"2";"01/01/2016 00:00:00";"61334";"01/01/2016 00:00:00";"2";"0";"01/01/2016 00:00:00";"3,005.00";"0.00";"3,455.75";"Leyla Asef zade";"(216) 555-0100"
"63975";"181";"20";"01/01/2016 00:00:00";"61335";"01/01/2016 00:00:00";"4";"0";"01/01/2016 00:00:00";"635.00";"0.00";"730.25";"Tailspin Toys (Heilwood, PA)";"(215) 555-0100"
"63976";"808";"3";"01/01/2016 00:00:00";"61336";"01/01/2016 00:00:00";"2";"0";"01/01/2016 00:00:00";"922.50";"0.00";"1,060.88";"Jackson Kolios";"(209) 555-0100"
"63977";"977";"7";"01/01/2016 00:00:00";"61337";"01/01/2016 00:00:00";"2";"0";"01/01/2016 00:00:00";"1,180.00";"0.00";"1,357.00";"Mauno Laurila";"(216) 555-0100"
"63978";"574";"13";"01/01/2016 00:00:00";"61338";"01/01/2016 00:00:00";"2";"0";"01/01/2016 00:00:00";"10,132.00";"0.00";"11,651.80";"Wingtip Toys (Molalla, OR)";"(458) 555-0100"
"63979";"548";"16";"01/01/2016 00:00:00";"61339";"01/01/2016 00:00:00";"4";"0";"01/01/2016 00:00:00";"4,927.00";"0.00";"5,666.05";"Wingtip Toys (Indian Creek, IL)";"(217) 555-0100"
"63980";"499";"15";"01/01/2016 00:00:00";"61340";"01/01/2016 00:00:00";"3";"0";"01/01/2016 00:00:00";"2,794.00";"0.00";"3,213.10";"Wingtip Toys (East Fultonham, OH)";"(216) 555-0100"
"63981";"14";"20";"01/01/2016 00:00:00";"61341";"01/01/2016 00:00:00";"2";"0";"01/01/2016 00:00:00";"430.00";"0.00";"494.50";"Tailspin Toys (Long Meadow, MD)";"(240) 555-0100"
"63982";"449";"16";"01/01/2016 00:00:00";"61342";"01/01/2016 00:00:00";"5";"0";"01/01/2016 00:00:00";"4,763.00";"0.00";"5,477.45";"Wingtip Toys (Delray, WV)";"(304) 555-0100"
"63983";"460";"3";"01/01/2016 00:00:00";"61343";"01/01/2016 00:00:00";"1";"0";"01/01/2016 00:00:00";"260.00";"0.00";"299.00";"Wingtip Toys (Mayhill, NM)";"(505) 555-0100"
"63984";"96";"6";"01/01/2016 00:00:00";"61344";"01/01/2016 00:00:00";"4";"0";"01/01/2016 00:00:00";"2,807.00";"0.00";"3,228.05";"Tailspin Toys (South La Paloma, TX)";"(210) 555-0100"
"63985";"894";"14";"01/01/2016 00:00:00";"61345";"01/01/2016 00:00:00";"4";"0";"01/01/2016 00:00:00";"667.60";"0.00";"767.74";"Gabriela Hernandes";"(239) 555-0100"
"63986";"64";"6";"01/01/2016 00:00:00";"61346";"01/01/2016 00:00:00";"4";"0";"01/01/2016 00:00:00";"902.20";"0.00";"1,037.53";"Tailspin Toys (Hodgdon, ME)";"(207) 555-0100"
"63987";"822";"2";"01/01/2016 00:00:00";"61347";"01/01/2016 00:00:00";"2";"0";"01/01/2016 00:00:00";"302.00";"0.00";"347.30";"Suparna Bhattacharya";"(314) 555-0100"
"63988";"601";"8";"01/01/2016 00:00:00";"61348";"01/01/2016 00:00:00";"4";"0";"01/01/2016 00:00:00";"1,093.25";"0.00";"1,257.24";"Wingtip Toys (Ruthsburg, MD)";"(240) 555-0100"
"63989";"26";"8";"01/01/2016 00:00:00";"61349";"01/01/2016 00:00:00";"3";"0";"01/01/2016 00:00:00";"2,145.00";"0.00";"2,466.75";"Tailspin Toys (Hedrick, IA)";"(319) 555-0100"
